LON,LAT,NAME
28.17858,-25.73882,11th Street Taxi Rank
28.1766,-25.73795,81 Bazaar Street Taxi Rank
27.83239,-26.53722,Adams Road Taxi Rank
28.12514,-26.26666,Alberton City Mall Taxi Rank
28.10144,-26.10567,Alexandra Main Taxi Rank
28.10125,-26.10605,Alexandra Main Taxi Rank
28.10185,-26.10537,Alexandra Main Taxi Rank
28.10165,-26.10479,Alexandra Taxi Rank
28.10151,-26.10594,Alexandra Taxi Rank
28.102,-26.10576,Alexandra Taxi Rank
28.51206,-26.43641,Alra Park Taxi Rank
28.19932,-26.02136,Andrew Mapheto Drive Taxi Rank
28.19006,-25.74244,Andries Street Taxi Rank
28.19014,-25.74197,Andries Street Taxi Rank
28.1901,-25.74185,Andries Street Taxi Rank
28.28036,-26.15972,Atlasville Taxi Rank
27.94085,-26.25974,Bara Taxi Rank
27.94038,-26.25961,Bara Taxi Rank
27.94234,-26.25973,Bara Taxi Rank
27.94201,-26.25923,Baragwanath Taxi Rank
27.94325,-26.25931,Baragwanath Taxi Rank
27.94208,-26.2599,Baragwanath Taxi Rank
27.93711,-26.25906,Baragwanath Taxi Rank
27.94081,-26.259,Baragwanath Taxi Rank
27.70334,-26.28271,Bekkersdal Taxi Rank
28.18045,-25.73836,Belle Ombre Taxi Rank
28.04884,-26.10024,Benmore Shopping Centre Taxi Rank
28.04962,-26.10097,"Benmore Taxi Rank, Grayston Drive"
28.31324,-26.19837,Benoni Station Taxi Rank
28.3117,-26.19925,Benoni Station Taxi Rank
28.31146,-26.1994,Benoni Station Taxi Rank
28.31272,-26.19864,Benoni Station Taxi Rank
28.31066,-26.19764,Benoni Station Taxi Rank
28.31069,-26.19982,Benoni Station Taxi Rank
28.31095,-26.19967,Benoni Station Taxi Rank
28.31046,-26.19996,Benoni Station Taxi Rank
28.30979,-26.2004,Benoni Station Taxi Rank
28.23474,-26.06752,Birchleigh Station Taxi Rank
28.23483,-26.06753,Birchleigh Station Taxi Rank
28.19112,-25.74036,Bloed Street Mall Taxi Rank
28.18913,-25.74055,Bloed Street Mall Taxi Rank
28.38804,-26.38014,Bluegum View Taxi Rank
27.82767,-26.5628,Boitumelo Taxi Rank
28.25244,-26.22401,Boksburg Taxi Rank
28.25209,-26.2239,Boksburg Taxi Rank
28.25182,-26.22389,Boksburg Taxi Rank
28.19616,-25.7388,Boom Street Taxi Rank`
27.79717,-26.69133,Bophelong Taxi Rank
27.79727,-26.69131,Bophelong Taxi Rank
27.79729,-26.69285,Bophelong Taxi Rank
27.79586,-26.69118,Bophelong Taxi Rank
27.79602,-26.69155,"Bophelong Taxi Rank, Corner Dube Street and 12th Street"
27.79592,-26.69138,"Bophelong Taxi Rank, Dube Street"
28.18473,-25.75557,Bosmanstraat Station Taxi Rank
28.18324,-25.75561,Bosmanstraat Station Taxi Rank
28.18566,-25.7555,Bosmanstraat Station Taxi Rank
28.18473,-25.75557,Bosmanstraat Station Taxi Rank
28.18478,-25.75557,Bosmanstraat Station Taxi Rank
28.12847,-25.99577,Boulders Shopping Centre Taxi Rank
28.10292,-26.3124,Brackenhurst Taxi Rank
28.36204,-26.24067,Brakpan Station Taxi Rank
28.36167,-26.23995,Brakpan Station Taxi Rank
28.36185,-26.24029,Brakpan Station Taxi Rank
28.36125,-26.23913,Brakpan Station Taxi Rank
28.36215,-26.24088,Brakpan Station Taxi Rank
28.36178,-26.24015,Brakpan Station Taxi Rank
28.36187,-26.24034,Brakpan Station Taxi Rank
28.36073,-26.23833,Brakpan Station Taxi Rank
28.36206,-26.2407,Brakpan Station Taxi Rank
28.03662,-26.20034,Bree Taxi Rank
28.0359,-26.20047,Bree Taxi Rank
28.03612,-26.20151,Bree Taxi Rank
28.03757,-26.20134,Bree Taxi Rank
28.03725,-26.20139,Bree Taxi Rank
28.03751,-26.20131,Bree Taxi Rank
28.03633,-26.20149,Bree Taxi Rank
28.0375,-26.20121,Bree Taxi Rank
28.0374,-26.20136,Bree Taxi Rank
28.03644,-26.20148,Bree Taxi Rank
28.03645,-26.20084,Bree Taxi Rank
28.03657,-26.20035,Bree Taxi Rank
28.03655,-26.20146,Bree Taxi Rank
28.03594,-26.20041,Bree Taxi Rank
28.03652,-26.20146,Bree Taxi Rank
28.03753,-26.20144,Bree Taxi Rank
27.78302,-25.63586,Brits Taxi Rank
28.19561,-26.28998,Buhle Park Taxi Rank
28.04259,-26.20003,CBD A Taxi Rank
27.86523,-26.33295,"Capella Street Ext 9, Lenasia Taxi Rank"
27.86528,-26.33297,"Capella Street Ext 9, Lenasia Taxi Rank"
27.86528,-26.33297,"Capella Street Ext 9, Lenasia Taxi Rank"
27.39709,-26.35229,Carletonville Main Taxi Rank
27.39706,-26.35219,Carletonville Main Taxi Rank
27.39737,-26.35305,Carletonville Main Taxi Rank
28.08604,-25.49815,Central City Taxi Rank
28.08665,-25.4981,Central City Taxi Rank
27.79635,-26.15731,Chamdor Taxi Rank
28.18149,-26.34492,Chris Hani Mall Taxi Rank
28.18361,-26.34522,Chris Hani Mall Taxi Rank
28.18191,-26.34545,Chris Hani Mall Taxi Rank
27.94022,-26.25928,Chris Hani Road Taxi Rank
27.94015,-26.25907,Chris Hani Road Taxi Rank
27.93987,-26.25905,Chris Hani Road Taxi Rank
27.94013,-26.25907,Chris Hani Road Taxi Rank
28.74726,-25.80485,Church Street Taxi Rank
28.18353,-25.75113,Corner Nana Sita Street and Sophie de Bruyn Taxi Rank
28.19297,-25.7463,Corner Pretorius Street and Helen Joseph Street Taxi Rank
28.31714,-25.79797,Corner Solomon Mahlangu Drive and Aterbury Road Taxi Rank
28.31731,-25.79825,Corner Solomon Mahlangu Drive and Atterbury Road Taxi Rank
27.97363,-26.18784,Coronation Taxi Rank
27.93833,-26.01725,Cosmo City Taxi Rank
27.93743,-26.01687,Cosmo City Taxi Rank
27.93385,-26.01982,Cosmo Taxi Rank
27.93804,-26.01731,Cosmo Taxi Rank
27.93748,-26.0177,Cosmocity Taxi Rank
27.93754,-26.01754,Cosmocity Taxi Rank
27.83422,-26.06181,Cradlestone Mall Taxi Rank
28.04167,-26.14292,Cradock Taxi Rank
28.04141,-26.14241,Cradock Taxi Rank
28.04167,-26.14237,Cradock Taxi Rank
28.04158,-26.14249,Cradock Taxi Rank (Rosebank)
27.97302,-26.13214,Cresta Mall Taxi Rank
27.97156,-26.12982,Cresta Mall Taxi Rank
27.97096,-26.12969,Cresta Mall Taxi Rank
28.53084,-25.67162,Cullinan Fourways Taxi Rank
28.52056,-25.67312,Cullinan Taxi Rank
27.93636,-26.30148,Dark City Taxi Rank
28.71655,-25.6864,Dark City Taxi Rank
28.71628,-25.68643,"Dark City Taxi Rank, Ekangala G"
28.41716,-26.15312,Daveyton Taxi Rank
28.41697,-26.15175,Daveyton Taxi Rank
28.41659,-26.15314,Daveyton Taxi Rank
28.41665,-26.15284,Daveyton Taxi Rank
28.41718,-26.15261,Daveyton Taxi Rank
28.24794,-26.31545,Dawn Park Taxi Rank
28.34342,-25.72008,Denneboom Taxi Rank
28.33662,-25.71715,Denneboom Taxi Rank
28.33912,-25.718,Denneboom Taxi Rank
28.33897,-25.71781,Denneboom Taxi Rank
28.33645,-25.7172,Denneboom Taxi Rank
27.94068,-26.24883,Diepkloof Taxi Rank
27.94002,-26.24982,Diepkloof Taxi Rank
28.01863,-25.9424,Diepsloot Mall Taxi Rank
28.02004,-25.94251,Diepsloot Mall Taxi Rank
28.02294,-25.92247,Diepsloot Taxi Rank
28.0156,-25.93165,Diepsloot Taxi Rank
28.00386,-25.93645,"Diepsloot Taxi Rank Extension 7, Nomavuka Drive"
28.00382,-25.93682,"Diepsloot Taxi Rank Extension 7, Nomavuka Drive"
27.80392,-26.22978,Dobsonville Gardens Taxi Rank
27.87023,-26.21319,Dobsonville Taxi Rank
27.87104,-26.21493,Dobsonville Taxi Rank
27.87063,-26.21311,Dobsonville Taxi Rank
27.87066,-26.21327,Dobsonville Taxi Rank
28.04911,-26.20163,Doornfontain Taxi Rank
28.05266,-26.19742,Doornfontein Station Taxi Rank
28.05117,-26.19749,Doornfontein Taxi Rank
27.84413,-26.47241,Drieziek D Taxi Rank
27.84394,-26.47206,Drieziek Taxi Rank
27.84466,-26.47237,Drieziek Taxi Rank
27.84434,-26.47205,Drieziek Taxi Rank
27.84413,-26.47246,Drieziek Taxi Rank
27.84436,-26.47203,Drieziek Taxi Rank
27.84384,-26.47229,Driezik Taxi Rank Corner Golden Highway and Street 07 Street
27.84341,-26.47223,"Driezik Taxi Rank, Corner Golden Highway and Street 07 Street"
27.89312,-26.23251,Dube Station Taxi Rank
28.38847,-26.38009,Duduza Ext 15 Taxi Rank
28.3892,-26.31053,Duduza Taxi Rank
28.3898,-26.31199,Duduza Taxi Rank
28.38873,-26.38054,Duduza Taxi Rank
28.38972,-26.31212,Duduza Taxi Rank
28.38974,-26.31209,Duduza Taxi Rank
28.38872,-26.38053,Duduza Taxi Rank
28.38973,-26.3121,Duduza Taxi Rank
28.38978,-26.31081,Duduza Taxi Rank
28.19039,-26.22552,Dukathole Taxi Rank
28.43591,-26.34985,Dunnottar Taxi Rank
28.28346,-26.20874,Dunswart Station Taxi Rank
28.28583,-26.20824,Dunswart Station Taxi Rank
28.28739,-26.20943,Dunswart Station Taxi Rank
28.28616,-26.20833,Dunswart Station Taxi Rank
28.2865,-26.20827,Dunswart Station Taxi Rank
28.28342,-26.20918,Dunswart Taxi Rank
28.28395,-26.2089,Dunswart Taxi Rank
28.11893,-26.18215,East Gate Taxi Rank
28.26997,-25.7113,East Lynne A Taxi Rank
28.24178,-26.18364,East Rand Mall Taxi Rank
28.11909,-26.17977,Eastgate Mall Taxi Rank
28.11867,-26.18215,Eastgate Taxi Rank
28.17913,-26.00374,Ebony Park Taxi Rank
28.156,-26.14352,"Edenvale Mall, Taxi Rank"
28.1495,-26.13656,Edenvale Taxi Rank
28.14972,-26.13697,Edenvale Taxi Rank
28.71712,-25.6847,Ekandustria Road Taxi Rank
28.20584,-26.16751,Elandfontein Taxi Rank
28.20429,-26.16619,Elandsfontain Metrorail Station Taxi Rank
28.20604,-26.16746,Elandsfontein Station Taxi Rank
28.20522,-26.16845,Elandsfontein Station Taxi Rank
28.20463,-26.16636,Elandsfontein Taxi Rank
28.03357,-25.78639,Elandsfontein Taxi Rank
28.20452,-26.1663,Elandsfontein Taxi Rank
28.03451,-25.78659,Elandsfontein Taxi Rank
27.90579,-26.29339,Eldorado Park Taxi Rank
27.89192,-26.2791,Eldorado Taxi Rank
27.96319,-25.62352,Elite Trade Centre Taxi Rank
27.96314,-25.62349,Elite Trade Centre Taxi Rank
28.05816,-26.19958,Ellis Park Taxi Rank
27.67924,-26.40605,"Elsburg, South Deep Taxi Rank"
29.20882,-25.87627,Emalahleni Taxi Rank
27.81833,-26.24683,Emdeni Taxi Rank
27.81832,-26.24875,"Emdeni Taxi Rank, Yshangisa Street"
28.09204,-25.81142,Erasmia Taxi Rank
28.09239,-25.81135,Erasmia Taxi Rank
28.04427,-25.55835,Erasmus Taxi Rank
28.04444,-25.55874,Erasmus Taxi Rank
28.23657,-26.02509,Esselen Park Taxi Rank
28.47868,-26.11923,Etwatwa East Taxi Rank
27.85881,-26.50453,Evaton Ext 9 Taxi Rank
27.86174,-26.50432,Evaton Ext 9 Taxi Rank
27.8582,-26.50473,Evaton Ext 9 Taxi Rank
27.8583,-26.50485,Evaton Ext 9 Taxi Rank
27.85827,-26.50478,Evaton Ext 9 Taxi Rank
27.82638,-26.52936,Evaton Mall Taxi Rank
27.82661,-26.53366,Evaton Mall Taxi Rank
27.81862,-26.52443,Evaton Taxi Rank
27.86643,-26.45474,Ext 2 Taxi Rank
27.85947,-26.50411,Ext 9 (Orange Farm) Taxi Rank
28.02015,-25.92293,Extension 2 Diepsloot Taxi Rank
27.86967,-26.47245,Eyethu Mall Taxi Rank
27.86961,-26.47265,Eyethu Mall Taxi Rank
27.86975,-26.47167,Eyethu Mall Taxi Rank
27.8696,-26.47259,Eyethu Mall Taxi Rank
27.86928,-26.46971,Eyethu Mall Taxi Rank
27.86933,-26.47014,Eyethu Mall Taxi Rank
27.86973,-26.47259,Eyethu Mall Taxi Rank
28.04553,-26.2126,Faraday Taxi Rank
28.04644,-26.21229,Faraday Taxi Rank
28.04647,-26.21224,Faraday Taxi Rank
27.87036,-26.42644,Finetown B Taxi Rank
27.86249,-26.41645,"Finetown C Taxi Rank, Corner 5th Avenue and Beatrice Street"
27.85177,-26.41127,Finetown Taxi Rank
27.91092,-26.17287,Florida Taxi Rank
27.91105,-26.17253,Florida Taxi Rank
27.49487,-26.4944,Fochville Taxi Rank
27.49487,-26.49443,Fochville Taxi Rank
28.09988,-25.89002,Forest Hill City Mall Taxi Rank
28.00951,-26.01832,Fourways Crossin Taxi Rank
28.00982,-26.01594,Fourways Crossing Taxi Rank
28.00412,-26.01683,Fourways Taxi Rank
28.00412,-26.01685,Fourways Taxi Rank
28.00409,-26.01707,Fourways Taxi Rank
28.01219,-25.62049,Ga-Rankuwa Hospital (Main Gate) Taxi Rank
28.00676,-25.61891,Ga-Rankuwa Taxi Rank
28.00698,-25.61953,Garankuwa Taxi Rank
28.16672,-26.21061,Germiston Station Taxi Rank
28.17027,-26.21155,Germiston Taxi Rank
28.16904,-26.21203,Germiston Taxi Rank
28.16904,-26.21203,Germiston Taxi Rank
28.17022,-26.21151,Germiston Taxi Rank
28.16865,-26.21145,Germiston Taxi Rank
28.16862,-26.2122,Germiston Taxi Rank
28.16928,-26.21203,Germiston Taxi Rank
28.17024,-26.21173,Germiston Taxi Rank
28.16904,-26.21203,Germiston Taxi Rank
28.16762,-26.21123,Germiston Taxi Rank
28.16872,-26.21229,Germiston Taxi Rank
28.16865,-26.21145,Germiston Taxi Rank
28.16911,-26.21269,Germiston Taxi Rank
28.16902,-26.21199,GermistonTaxi Rank
28.05045,-26.26856,Glen Mall Taxi Rank
28.01053,-26.23752,Gold Reef City Taxi Rank
28.21875,-26.34215,Goldspot Taxi Rank Vosloorus
27.86349,-26.42573,Grasmere Station Taxi Rank
27.92404,-26.16385,Green Taxi Rank
28.13268,-26.39718,Greenfields Taxi Rank
28.14241,-26.11979,Greenstone Shopping Centre Taxi Rank
28.28127,-25.40723,Hammanskraal Station Taxi Rank
28.28061,-25.40914,Hammanskraal Station Taxi Rank
28.2825,-25.40629,Hammanskraal Taxi Rank
28.2825,-25.40604,Hammanskraal Taxi Rank
28.05102,-26.19685,Hancock Street Taxi Rank (Hillbrow)
28.35995,-26.50257,Heidelberg Taxi Rank
27.95712,-26.20498,Highgate B Taxi Rank
28.04857,-26.18716,Hillbrow Taxi Rank
27.9284,-26.07839,Honeydew Spar Taxi Rank
27.90475,-26.05359,Honeydew Taxi Rank
27.90496,-26.05301,Honeydew Taxi Rank
27.90721,-26.05348,Honeydew Taxi Rank
27.90722,-26.05276,Honeydew Taxi Rank
27.84583,-26.60918,Houtkop Taxi Rank
27.84586,-26.60999,Houtkop Taxi Rank
27.87505,-26.23072,Ikhwezi Taxi Rank
27.87649,-26.23005,Ikwezi Station Taxi Rank
28.04938,-26.12949,Illovo Taxi Rank
27.96634,-26.01221,Inanda Taxi Rank
28.25201,-25.86477,Irene Mall Taxi Rank
28.20562,-25.98143,Ivory Park Ext 13 Taxi Rank
28.18233,-26.00757,Ivory Park Taxi Rank
28.18225,-26.00763,Ivory Park Taxi Rank
28.18147,-26.00685,Ivory Park Taxi Rank
28.1825,-26.00717,Ivory Park Taxi Rank
28.18248,-26.00701,Ivory Park Taxi Rank
28.18256,-26.00708,Ivory Park Taxi Rank
27.88154,-26.24455,Jabavu Taxi Rank
27.85341,-26.24918,Jabulani Mall Taxi Rank
27.86068,-26.2482,Jabulani Taxi Rank
28.00738,-26.09497,Jan Smut Avenue Taxi Rank
28.06275,-26.20315,Jeppe Station Taxi Rank
28.04499,-26.20115,Jeppe Street Taxi Rank
27.92458,-26.10462,John Vorster Road Taxi Rank
28.03382,-26.19309,Jorissen Street Taxi Rank
28.26946,-25.40609,Jubille Mall Taxi Rank
27.79136,-26.17526,Kagiso Ext 12 Taxi Rank
27.78313,-26.15859,Kagiso Taxi Rank
27.82583,-26.23449,Kaimane Street Taxi Rank
28.08953,-25.7615,Kalafong Taxi Rank
28.08966,-25.76147,Kalafong Taxi Rank
28.08899,-25.76162,Kalafong Taxi Rank
28.14234,-26.32776,Kathlelong Centre Taxi Rank
28.147,-26.32648,Katlehong Hospital Taxi Rank
28.14594,-26.32611,Katlehong Peoples Taxi Association Taxi Rank
28.22933,-26.11022,Kempton Park Taxi Rank
28.22768,-26.10687,Kempton Park Taxi Rank
28.22863,-26.108,Kempton Park Taxi Rank
28.22729,-26.10603,Kempton Park Taxi Rank
28.22732,-26.10611,Kempton Park Taxi Rank
28.22968,-26.11093,Kempton Park Taxi Rank
28.22902,-26.10954,Kempton Park Taxi Rank
28.22893,-26.10913,Kempton Park Taxi Rank
28.22934,-26.11024,Kempton Park Taxi Rank
28.22729,-26.10601,Kempton Park Train Station Taxi Rank
27.78024,-26.09067,Key West Shopping Centre Taxi Rank
27.78261,-26.08856,Key West Shopping Centre Taxi Rank
28.04553,-26.19597,King George St Taxi Rank
28.39799,-26.18698,Kingsway Taxi Rank
27.89068,-26.27615,Kliptown B Taxi Rank
27.89108,-26.27734,Kliptown Taxi Rank
27.89175,-26.27907,Kliptown Taxi Rank
27.89085,-26.27617,Kliptown Taxi Rank
27.8905,-26.27715,Kliptown Taxi Rank
27.57243,-26.44655,Kloof Mine Taxi Rank
27.46961,-26.4944,Kokosi Taxi Rank
27.46897,-26.49473,Kokosi Taxi Rank
27.77098,-26.10846,Krugersdorp Station Taxi Rank
27.77049,-26.09682,Krugersdorp Taxi Rank
28.72222,-25.40027,Kwamhlanga Taxi Rank
28.39136,-26.31036,Kwathema Taxi Rank
28.32095,-26.18459,Lakeside Mall Taxi Rank
28.31817,-26.18373,Lakeside Mall Taxi Rank
28.31897,-26.18525,Lakeside Mall Taxi Rank
28.31841,-26.18409,Lakeside Mall Taxi Rank
28.31869,-26.18388,Lakeside Taxi Rank
28.32077,-26.18449,Lakeside Taxi Rank
28.31833,-26.18374,Lakeside Taxi Rank
27.88911,-25.89921,Lanseria Taxi Rank
27.88978,-25.89911,Lanseria Taxi Rank
27.81257,-26.38179,"Lawley Taxi Rank Office, Corner 2nd Avenue and Lawley Road"
27.89476,-26.3446,Lehae Taxi Rank
27.86507,-26.33284,Lenasia Ext 9 Taxi Rank
27.86221,-26.39491,Lenasia South Taxi Rank
27.82492,-26.31976,Lenasia Taxi Rank
27.82404,-26.31916,Lenasia Taxi Rank
27.82495,-26.32007,Lenasia Taxi Rank
27.82375,-26.31931,Lenasia Taxi Rank
27.82505,-26.31922,Lenasia Taxi Rank
27.82473,-26.31975,Lenasia Taxi Rank
27.82505,-26.3192,Lenasia Taxi Rank
27.82452,-26.31925,Lenasia Taxi Rank
27.82467,-26.319,Lenasia Taxi Rank
27.82483,-26.32005,Lenasia Taxi Rank
27.8248,-26.3196,Lenasia Taxi Rank
27.82492,-26.31971,Lenasia Taxi Rank
27.82506,-26.31917,Lensasia Taxi Rank
27.82506,-26.31917,Lensasia Taxi Rank
27.8083,-26.17194,Leratong Hospital Taxi Rank
27.80764,-26.17124,Leratong Hospital Taxi Rank
27.80817,-26.1712,Leratong Taxi Rank
27.60931,-26.34799,Libanon Gold Mine Taxi Rank
28.03489,-26.20201,Lilian Ngoyi Street Taxi Rank
27.92565,-25.99637,Lion Park Taxi Rank
27.92549,-25.99584,Lions Park Taxi Rank
27.92584,-25.99614,Lions Park Taxi Rank
28.0411,-26.20484,Loveday Taxi Rank
28.04138,-26.20555,Loveday Taxi Rank
28.04118,-26.20559,Loveday Taxi Rank
28.04117,-26.20391,"Loveday Taxi Rank, Corner Loveday Street and Pritchard Street"
28.04133,-26.20537,"Loveday Taxi Rank, Loveday Street"
27.76905,-26.10576,Luipaard Stop Taxi Rank
28.34371,-25.77812,Lynnwood Road Taxi Rank
28.3435,-25.77813,"Lynnwood Taxi Rank, Corner Solomon Mahlangu Drive and Lynnwood Drive"
28.04497,-26.19901,MTN Taxi Rank
28.04871,-26.20008,"MTN Taxi Rank, Corner Troye Street and Lilian Ngoyi Street"
28.08828,-25.49428,Mabopane Station B Taxi Rank
28.08775,-25.49545,Mabopane Station Main Taxi Rank
28.08879,-25.49458,Mabopane Station Taxi Rank
28.08834,-25.49477,Mabopane Station Taxi Rank
28.08906,-25.49267,Mabopane Station Taxi Rank
27.95956,-25.44338,Madidi Taxi Rank
27.54794,-26.00219,Magaliesburg Taxi Rank
27.83182,-26.24517,Maholwane Street Taxi Rank
28.41355,-25.70943,Mahube Valley Taxi Rank
28.04871,-26.20613,Main and Delvers Street Taxi Rank
28.39166,-26.3099,Majola Street Taxi Rank
28.12017,-25.23706,Makapanstad Taxi Rank
27.81055,-26.23153,Makhado Taxi Rank
27.93972,-26.01655,Malibongwe Drive Taxi Rank
28.04169,-26.14247,Mall of Rosebank Taxi Rank
28.05732,-26.31734,Mall of The South Taxi Rank
28.33461,-25.71545,Mamelodi Crossing Shopping Centre Taxi Rank
28.3348,-25.71509,Mamelodi Crossing Shopping Centre Taxi Rank
28.4009,-25.72391,Mamelodi Taxi Rank/ Mamelody Campus
28.4009,-25.72389,Mamelodi Taxi Rank/University of Pretoria - Mamelodi Campus
27.85537,-26.28369,Mangalani Shopping Centre Taxi Rank
27.89882,-26.26109,Maponya Mall Taxi Rank
27.90193,-26.25959,Maponya Mall Taxi Rank
28.17732,-25.73999,"Marabastad Taxi Rank, Corner 8th Street and Boom Street"
28.18115,-25.7389,"Marabastad, Belle Ombre Taxi Rank"
28.17529,-25.74054,Marabastard Taxi Rank
28.20799,-25.3625,Mashemong Taxi Rank
